DATASET,DOCUMENT,LLM_NAME,RESPONSE,TIME,CHARS_PROCESSED
museo,datasets_md\museo\001_Lineamientos para la eliminación de documentos MNCR.md,google/gemma-4-E2B-it,instrumentostécnicosarchivísticos,31.27225579999504,5000
museo,datasets_md\museo\002_Lineamientos para la transferencia de documentos al AC.md,google/gemma-4-E2B-it,informesdelabores,37.236779900005786,5000
museo,datasets_md\museo\003_Lineamientos gestión de documentos MNCR.md,google/gemma-4-E2B-it,memorandos,19.1542754000111,5000
museo,datasets_md\museo\004_Instructivo Cuadro de clasificación MNCR.md,google/gemma-4-E2B-it,instrumentostécnicosarchivísticos,17.940514099987922,5000
museo,datasets_md\museo\40-2025 MN Sofía Irola Rojas.md,google/gemma-4-E2B-it,memorandos,0.9963696000049822,5000
museo,datasets_md\museo\76-2025 MN Sofía Irola Rojas 1.md,google/gemma-4-E2B-it,memorandos,0.8242430000100285,5000
museo,datasets_md\museo\AC-2024-I-001 informe agosto.md,google/gemma-4-E2B-it,informesdelabores,0.6828643000044394,2751
museo,datasets_md\museo\AC-2024-O-001.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.5719546999898739,1505
museo,datasets_md\museo\AC-2024-O-002 Remision de diagnostico.md,google/gemma-4-E2B-it,informestécnicosproducidos,1.2804036999878008,5000
museo,datasets_md\museo\AC-2024-O-003 Cised.md,google/gemma-4-E2B-it,memorandos,0.6020732999895699,3122
museo,datasets_md\museo\ACT MNCR-DAF-AC-001-2024 Servicios Generales.md,google/gemma-4-E2B-it,informesdelabores,1.5877541999943787,5000
museo,datasets_md\museo\ACT MNCR-DAF-AC-002-2024 Financiero Contable.md,google/gemma-4-E2B-it,memorandos,1.2706184999988182,5000
museo,datasets_md\museo\AI-2024-As-10 Informacion sobre CISED.md,google/gemma-4-E2B-it,correspondencia,0.5299551999924006,3307
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-07MAR2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6522684000083245,1702
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-10DIC2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.613153099999181,1368
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-15JUL2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6268769000016619,1390
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-16ABR2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6648189999978058,1932
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-16JUL2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6562023000005865,2180
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-17OCT2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6573313999979291,1457
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-18FEB2025.md,google/gemma-4-E2B-it,expedientesdetrámiteslaborales,0.987348100010422,2663
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-18JUN2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.7433283999998821,1472
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-19FEB2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.5830857999972068,1327
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-20 y 24JUN2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6570187000033911,1499
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-20y21FEB2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6283038000110537,1347
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-22ABR2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.5817108000046574,1327
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-23SET2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6748259000014514,1888
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-28-30JUL2025.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6070414000132587,1244
museo,datasets_md\museo\ASISTENCIA-Sofia Irola-01NOV2024.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6211867999954848,933
museo,datasets_md\museo\ASISTENCIA-Sofia Irola-05y08NOV2024.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6208167000004323,829
museo,datasets_md\museo\ASISTENCIA-SOFIA IROLA-06DIC2024.md,google/gemma-4-E2B-it,solicitudesadministrativas,0.6371457000059308,1020
