is_cheap,model,type,accuracy,precision,recall,f1_score,documents,correct,incorrect,missing_replies,multi_ground_truth_rows,avg_time_seconds,total_time_seconds,avg_cost,total_cost,CER
yes,(HUGGINGFACE)\tsmollm-135m-it,local,0.0,0.0,0.0,0.0,287,0,287,0,10,3.252626908362603,933.503922700067,3.5432055749128914e-05,0.010169,
no,(HUGGINGFACE)\tsmollm2-1.7b-it,local,0.08013937282229965,0.09059233449477352,0.08013937282229965,0.07134561141529783,287,23,264,0,10,1.277332211847057,366.5943448001053,1.0881533101045297e-05,0.0031230000000000003,0.04377283953488373
yes,(ALIBABA)\tqwen1.5-0.5b,local,0.0,0.0,0.0,0.0,287,0,287,0,10,2.0192192986060764,579.515938699944,1.7243902439024398e-05,0.004949000000000002,
no,(ALIBABA)\tqwen-3.5-2b,local,0.13240418118466898,0.07704392732702837,0.13240418118466898,0.043110712185070274,287,38,249,0,10,0.9944360766545947,285.40315399986866,1.083623693379791e-05,0.00311,0.07213984279937338
yes,(ANTHROPIC)\tclaude-haiku-4.5,api,0.5087108013937283,0.6341163333163208,0.5087108013937283,0.5035582184297146,287,146,141,0,10,0.9963605599360255,285.9554807016393,0.0014999965156794425,0.43049899999999997,0.8549140580853968
no,(ANTHROPIC)\tclaude-opus-4.7-thinking,api,0.5609756097560976,0.7387387637453312,0.5609756097560976,0.5711043322719129,287,161,126,0,10,1.6246824787438032,466.28387139947154,0.01017829268292683,2.92117,5.1149498172764325
yes,(GOOGLE)\tgemini-2.5-flash-lite,api,0.3554006968641115,0.5559787614131775,0.3554006968641115,0.3398895694936111,287,102,185,0,10,0.8637936038333429,247.90876430016942,0.00012849825783972126,0.036879,0.10850288832029963
no,(GOOGLE)\tgemini-3.1-pro-preview,api,0.49825783972125437,0.7381597958672809,0.49825783972125437,0.4624882116497267,287,143,144,0,10,10.744649450873505,3083.714392400696,0.015088836236933799,4.330496,9.363473253843225
yes,(GOOGLE)\tgemma-2b-it,local,0.0,0.0,0.0,0.0,287,0,287,0,10,1.5634829407663917,448.7196039999544,1.7013937282229966e-05,0.004883,
no,(GOOGLE)\tgemma-4-2b-it,local,0.21602787456445993,0.2734413739472101,0.21602787456445993,0.19866287642023914,287,62,225,1,10,1.429840699302729,410.36428069988324,4.4508710801393725e-05,0.012773999999999999,0.0642998844584263
no,(OPENAI)\tgpt-5.5-high,api,0.6898954703832753,0.7383826376078887,0.6898954703832753,0.6850224781705326,287,198,89,0,10,4.111691906965477,1180.055577299092,0.011219634146341464,3.220035,4.7006267715471814
yes,(OPENAI)\tgpt-5-nano-high,api,0.4564459930313589,0.6811588633375885,0.4564459930313589,0.44660545531625667,287,131,156,0,10,13.597328777351573,3902.4333590999013,0.000747822299651568,0.214625,0.4805695887615539
