DATASET,DOCUMENT,LLM_NAME,TYPE,REPLY,TIME,COST,GROUND_TRUTH
museo,001_Lineamientos para la eliminación de documentos MNCR.md,google/gemma-4-E2B-it,local,instrumentostécnicosarchivísticos,31.27225579999504,0.000973,instrumentos técnicos archivísticos
museo,002_Lineamientos para la transferencia de documentos al AC.md,google/gemma-4-E2B-it,local,informes,37.236779900005786,0.001158,instrumentos técnicos archivísticos
museo,003_Lineamientos gestión de documentos MNCR.md,google/gemma-4-E2B-it,local,memorandos,19.1542754000111,0.000596,instrumentos técnicos archivísticos
museo,004_Instructivo Cuadro de clasificación MNCR.md,google/gemma-4-E2B-it,local,instrumentostécnicosarchivísticos,17.940514099987922,0.000558,instrumentos técnicos archivísticos
museo,40-2025 MN Sofía Irola Rojas.md,google/gemma-4-E2B-it,local,memorandos,0.9963696000049822,3.1e-05,expedientes de trámites laborales
museo,76-2025 MN Sofía Irola Rojas 1.md,google/gemma-4-E2B-it,local,memorandos,0.8242430000100285,2.6e-05,expedientes de trámites laborales
museo,AC-2024-I-001 informe agosto.md,google/gemma-4-E2B-it,local,informes,0.6828643000044394,2.1e-05,informes
museo,AC-2024-O-001.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5719546999898739,1.8e-05,correspondencia
museo,AC-2024-O-002 Remision de diagnostico.md,google/gemma-4-E2B-it,local,informes,1.2804036999878008,4e-05,instrumentos técnicos archivísticos
museo,AC-2024-O-003 Cised.md,google/gemma-4-E2B-it,local,memorandos,0.6020732999895699,1.9e-05,correspondencia
museo,ACT MNCR-DAF-AC-001-2024 Servicios Generales.md,google/gemma-4-E2B-it,local,informes,1.5877541999943787,4.9e-05,instrumentos técnicos archivísticos
museo,ACT MNCR-DAF-AC-002-2024 Financiero Contable.md,google/gemma-4-E2B-it,local,memorandos,1.2706184999988182,4e-05,instrumentos técnicos archivísticos
museo,AI-2024-As-10 Informacion sobre CISED.md,google/gemma-4-E2B-it,local,correspondencia,0.5299551999924006,1.6e-05,correspondencia
museo,ASISTENCIA- Sofía Irola-07MAR2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6522684000083245,2e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-10DIC2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.613153099999181,1.9e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-15JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6268769000016619,2e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-16ABR2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6648189999978058,2.1e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-16JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6562023000005865,2e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-17OCT2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6573313999979291,2e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-18FEB2025.md,google/gemma-4-E2B-it,local,expedientesdetrámiteslaborales,0.987348100010422,3.1e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-18JUN2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.7433283999998821,2.3e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-19FEB2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5830857999972068,1.8e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-20 y 24JUN2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6570187000033911,2e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-20y21FEB2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6283038000110537,2e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-22ABR2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5817108000046574,1.8e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-23SET2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6748259000014514,2.1e-05,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-28-30JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6070414000132587,1.9e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-01NOV2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6211867999954848,1.9e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-05y08NOV2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6208167000004323,1.9e-05,expedientes de trámites laborales
museo,ASISTENCIA-SOFIA IROLA-06DIC2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6371457000059308,2e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-06y10SET2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5985845999966841,1.9e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-10y11DIC2024.md,google/gemma-4-E2B-it,local,,0.245093799996539,8e-06,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-12DIC2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6274807999870973,2e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-15y21ENE2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,2.274722100002691,7.1e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-16-19DIC2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6406171999988146,2e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-17al19SET2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6167772999906447,1.9e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-18OCT2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6257772999961162,1.9e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-19NOV2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6219378000096185,1.9e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-22NOV2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.606929499990656,1.9e-05,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-26SET2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6302873999957228,2e-05,expedientes de trámites laborales
museo,Boleta de Capacitación SIR.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.9523896000027888,3e-05,expedientes de trámites laborales
museo,Capacitacion SIR_JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,1.57541879999917,4.9e-05,expedientes de trámites laborales
museo,Capacitación más 12 horas Sofia Irola.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,1.4648806000041077,4.6e-05,expedientes de trámites laborales
museo,Capacitación SIR 7MAR.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.7094190000061644,2.2e-05,expedientes de trámites laborales
museo,Capacitación SIR MICITT.md,google/gemma-4-E2B-it,local,'solicitudesadministrativas',0.8954214999976102,2.8e-05,expedientes de trámites laborales
museo,CARTA-DGAN-DG-412-2025 Respuesta OFI MNCR-DAF-AC-015-2025.md,google/gemma-4-E2B-it,local,correspondencia,0.4237826999888057,1.3e-05,correspondencia
museo,CE-17SET2024-Ifigenia Quintanilla Participacion en Comite nacional.md,google/gemma-4-E2B-it,local,correspondencia,1.6029017999971984,5e-05,correspondencia
museo,CE-Grettel Monge-14AGO2025.md,google/gemma-4-E2B-it,local,correspondencia,0.7293751999968663,2.3e-05,expedientes de proyectos y programas institucionales
museo,CIR MNCR-DAF-AC-001-2024.md,google/gemma-4-E2B-it,local,circulares,0.8588675000064541,2.7e-05,circulares
museo,CIR MNCR-DG-004-2024_Lineamientos_Archivo_Central.md,google/gemma-4-E2B-it,local,circulares,0.4281827000086196,1.3e-05,circulares
museo,CIR_MNCR-DAF-AC-001-2025_Gestion de doc 2025.md,google/gemma-4-E2B-it,local,controles,1.1266174000047613,3.5e-05,circulares
museo,CIR_MNCR-DAF-AC-002-2025.md,google/gemma-4-E2B-it,local,circulares,0.463311799991061,1.4e-05,circulares
museo,CIR_MNCR-DAF-AC-003-2025 Normalizacion formularios.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.9344707999989624,2.9e-05,circulares
museo,CIR_MNCR-DAF-AC-004-2025 plantillas informes.md,google/gemma-4-E2B-it,local,informes,0.9203171999979533,2.9e-05,circulares
museo,CIR_MNCR-DAF-AC-005-2025 recordatorio responsabilidad doc (1).md,google/gemma-4-E2B-it,local,memorandos,0.7685166000010213,2.4e-05,circulares
museo,CIR_MNCR-DAF-AC-006-2025 formularios.md,google/gemma-4-E2B-it,local,circulares,0.6911302999942563,2.2e-05,circulares
museo,CIR_MNCR-DAF-AC-007-2025 archivo digital.md,google/gemma-4-E2B-it,local,'memorandos',0.9288660000020172,2.9e-05,circulares
museo,CIR_MNCR-DAF-AC-008-2025 comisiones.md,google/gemma-4-E2B-it,local,memorandos,0.7306399999943096,2.3e-05,circulares
museo,CIR_MNCR-DAF-AC-009-2025 plantillas y formularios.md,google/gemma-4-E2B-it,local,circulares,0.8094904000026872,2.5e-05,circulares
museo,Contrato de Teletrabajo Sofia Irola 1.md,google/gemma-4-E2B-it,local,contratos,0.7650761999975657,2.4e-05,expedientes de trámites laborales
museo,CONTR_ MNCR-DAF-AC-001-2025_Biblio.md,google/gemma-4-E2B-it,local,controles,0.7956955999979982,2.5e-05,solicitudes administrativas
museo,CONTR_ MNCR-DPM-016-2025 Traslado de documentos.md,google/gemma-4-E2B-it,local,'controles',1.0076285999966783,3.1e-05,solicitudes administrativas
museo,CONTR_MNCR-DPM-02-2025.md,google/gemma-4-E2B-it,local,informes,1.1770042999996804,3.7e-05,solicitudes administrativas
museo,CONV_MNCR-DG-AJ-016-2025.md,google/gemma-4-E2B-it,local,memorandos,0.7149809999973513,2.2e-05,expedientes de proyectos y programas institucionales
museo,DG-2024-O-285 designación_encargada_Archivo_comisión_CIAP.md,google/gemma-4-E2B-it,local,memorandos,0.3974372999946354,1.2e-05,correspondencia
museo,DG-2024-O-344 Conformacion CISED.md,google/gemma-4-E2B-it,local,memorandos,0.4836056999920401,1.5e-05,correspondencia
museo,DG-2024-O-345 Diagnostico AC.md,google/gemma-4-E2B-it,local,informes,0.7679878000053577,2.4e-05,correspondencia
museo,DGAN-DG-581-2024 préstamo activos Arch Museo Nac.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6833424000069499,2.1e-05,correspondencia
museo,EVALUACIÓN DEL DESEMPEÑO 2024 SIR febrero.md,google/gemma-4-E2B-it,local,informes,1.5678881999920122,4.9e-05,expedientes de trámites laborales
museo,Factura a Museo por hospedaje Sofia Irola.md,google/gemma-4-E2B-it,local,facturaelectrónica,1.2085814000020036,3.8e-05,expedientes de trámites laborales
museo,FORMULARIO EVALUACIÓN DEL DESEMPEÑO 2024 SIR.md,google/gemma-4-E2B-it,local,informes,1.7855620000045749,5.6e-05,expedientes de trámites laborales
museo,GIRHA-2024-O-672-2024. Srita. Lisseth Rojas Villarreal.md,google/gemma-4-E2B-it,local,expedientessobrevoluntariado,0.951329399991664,3e-05,expedientes sobre voluntariado
museo,INF MNCR-DAF-AC-002-2024 setiembre.md,google/gemma-4-E2B-it,local,informes,0.6849564000003738,2.1e-05,informes
museo,INF MNCR-DAF-AC-003-2024 octubre.md,google/gemma-4-E2B-it,local,informes,0.733431800006656,2.3e-05,informes
museo,INF MNCR-DAF-AC-004-2024 teletrabajo octubre.md,google/gemma-4-E2B-it,local,informes,0.9117012999922736,2.8e-05,informes
museo,INF MNCR-DAF-AC-005-2024 noviembre.md,google/gemma-4-E2B-it,local,informes,0.6951509000064107,2.2e-05,informes
