dataset,document,llm,reply,time,cost,expected
jurídico,Dictamen OJ-1039-2021.pdf,google/gemma-4-E2B-it,gestiónnotarialyregistral,229.3558420999907,0.007136,consultoría
jurídico,Dictamen OJ-1041-2023.pdf,google/gemma-4-E2B-it,gestiónjudicial,1.6692125999834388,5.2e-05,consultoría
jurídico,Dictamen OJ-1069-2023.pdf,google/gemma-4-E2B-it,gestiónnotarialyregistral,2.328304400027264,7.2e-05,consultoría
jurídico,Dictamen OJ-1092-2022.pdf,google/gemma-4-E2B-it,consultoría,0.5073650999984238,1.6e-05,consultoría
jurídico,Dictamen OJ-1100-2023.pdf,google/gemma-4-E2B-it,gestiónnotarialyregistral,2.34596999999485,7.3e-05,consultoría
jurídico,Dictamen OJ-1124-2021.pdf,google/gemma-4-E2B-it,gestiónjudicial,2.1750113000161946,6.8e-05,consultoría
jurídico,Dictamen OJ-15-2026.pdf,google/gemma-4-E2B-it,gestiónjudicial,2.963731399999233,9.2e-05,consultoría
jurídico,Dictamen OJ-518-2021.pdf,google/gemma-4-E2B-it,gestiónjudicial,0.5312403000134509,1.7e-05,consultoría
jurídico,Dictamen OJ-586-2023.pdf,google/gemma-4-E2B-it,consultoría,0.7858202000206802,2.4e-05,consultoría
jurídico,Dictamen OJ-642-2022.pdf,google/gemma-4-E2B-it,gestiónnotarialyregistral,1.1810098999994807,3.7e-05,consultoría
jurídico,Dictamen OJ-917-2023.pdf,google/gemma-4-E2B-it,consultoría,1.819141399988439,5.7e-05,consultoría
jurídico,Dictamen OJ-992-2023.pdf,google/gemma-4-E2B-it,gestiónjudicial,1.60516100001405,5e-05,consultoría
jurídico,Opinión Jurídica OJ-211-2024.pdf,google/gemma-4-E2B-it,consultoría,1.687169900018489,5.2e-05,consultoría
jurídico,Opinión Jurídica OJ-26-2026.pdf,google/gemma-4-E2B-it,consultoría,0.6695099000062328,2.1e-05,consultoría
jurídico,Opinión Jurídica OJ-510-2025.pdf,google/gemma-4-E2B-it,consultoría,0.4570179999864194,1.4e-05,consultoría
jurídico,Opinión Jurídica OJ-99-2024.pdf,google/gemma-4-E2B-it,consultoría,1.5270313000073656,4.8e-05,consultoría
museo,001_Lineamientos para la eliminación de documentos MNCR.pdf,google/gemma-4-E2B-it,instrumentostécnicosarchivísticos,2.9004048999922816,9e-05,instrumentostécnicosarchivísticos
museo,002_Lineamientos para la transferencia de documentos al AC.pdf,google/gemma-4-E2B-it,informes,1.8476956999802496,5.7e-05,instrumentostécnicosarchivísticos
museo,004_Instructivo Cuadro de clasificación MNCR.pdf,google/gemma-4-E2B-it,instrumentostécnicosarchivísticos,24.347933999990342,0.000757,instrumentostécnicosarchivísticos
museo,40-2025 MN Sofía Irola Rojas.pdf,google/gemma-4-E2B-it,memorandos,1.5318616000004113,4.8e-05,expedientesdetrámiteslaborales
museo,76-2025 MN Sofía Irola Rojas 1.pdf,google/gemma-4-E2B-it,circulares,1.607743800006574,5e-05,expedientesdetrámiteslaborales
museo,AC-2024-I-001 informe agosto.pdf,google/gemma-4-E2B-it,informes,0.6547763999842573,2e-05,informes
museo,AC-2024-O-001.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.5869376999908127,1.8e-05,correspondencia
museo,AC-2024-O-003 Cised.pdf,google/gemma-4-E2B-it,memorandos,0.4604703999939374,1.4e-05,correspondencia
museo,ACT MNCR-DAF-AC-001-2024 Servicios Generales.pdf,google/gemma-4-E2B-it,correspondencia,1.230118199979188,3.8e-05,instrumentostécnicosarchivísticos
museo,ACT MNCR-DAF-AC-002-2024 Financiero Contable.pdf,google/gemma-4-E2B-it,informes,1.529119999991963,4.8e-05,instrumentostécnicosarchivísticos
museo,AI-2024-As-10 Informacion sobre CISED.pdf,google/gemma-4-E2B-it,memorandos,0.50651010000729,1.6e-05,correspondencia
museo,ASISTENCIA- Sofía Irola-07MAR2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6259779999963939,1.9e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-10DIC2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6648386000015307,2.1e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-15JUL2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.7185385999910068,2.2e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-16ABR2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6955909999960568,2.2e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-16JUL2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.9450495000055524,2.9e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-17OCT2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.7411803999857511,2.3e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-18FEB2025.pdf,google/gemma-4-E2B-it,expedientesdetrámiteslaborales,0.9650777000060772,3e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-18JUN2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.8327719000226352,2.6e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-19FEB2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.5743077000079211,1.8e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-20 y 24JUN2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.5894127000065055,1.8e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-20y21FEB2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.5759589000081178,1.8e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-22ABR2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.5440966000023764,1.7e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-23SET2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6075522000028286,1.9e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA- Sofía Irola-28-30JUL2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.5438839000125881,1.7e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-01NOV2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6493002999923192,2e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-05y08NOV2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.5591294000041671,1.7e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-SOFIA IROLA-06DIC2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6500997999974061,2e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-06y10SET2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.5993827999918722,1.9e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-10y11DIC2024.pdf,google/gemma-4-E2B-it,'solicitudesadministrativas',0.7750446999853011,2.4e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-12DIC2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6962553999910597,2.2e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-15y21ENE2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,2.286013600009028,7.1e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-16-19DIC2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.766178799996851,2.4e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-17al19SET2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,1.0948537999938708,3.4e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-18OCT2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6728056000138167,2.1e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-19NOV2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6518337999877986,2e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-22NOV2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.7406567000143696,2.3e-05,expedientesdetrámiteslaborales
museo,ASISTENCIA-Sofia Irola-26SET2024.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.686806500016246,2.1e-05,expedientesdetrámiteslaborales
museo,Boleta de Capacitación SIR.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.9195220000110568,2.9e-05,expedientesdetrámiteslaborales
museo,Capacitacion SIR_JUL2025.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,1.3176775999891106,4.1e-05,expedientesdetrámiteslaborales
museo,Capacitación más 12 horas Sofia Irola.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,1.0984276999952272,3.4e-05,expedientesdetrámiteslaborales
museo,Capacitación SIR 7MAR.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6029584000061732,1.9e-05,expedientesdetrámiteslaborales
museo,Capacitación SIR MICITT.pdf,google/gemma-4-E2B-it,i.informaciondelabores,0.7113654999993742,2.2e-05,expedientesdetrámiteslaborales
museo,CARTA-DGAN-DG-412-2025 Respuesta OFI MNCR-DAF-AC-015-2025.pdf,google/gemma-4-E2B-it,correspondencia,0.4568420000141486,1.4e-05,correspondencia
museo,CE-17SET2024-Ifigenia Quintanilla Participacion en Comite nacional.pdf,google/gemma-4-E2B-it,correspondencia,3.0988404999952763,9.6e-05,correspondencia
museo,CIR MNCR-DAF-AC-001-2024.pdf,google/gemma-4-E2B-it,circulares,22.40114570001606,0.000697,circulares
museo,CIR MNCR-DG-004-2024_Lineamientos_Archivo_Central.pdf,google/gemma-4-E2B-it,circulares,0.4251970000041183,1.3e-05,circulares
museo,CIR_MNCR-DAF-AC-001-2025_Gestion de doc 2025.pdf,google/gemma-4-E2B-it,circulares,15.4628870000015,0.000481,circulares
museo,CIR_MNCR-DAF-AC-002-2025.pdf,google/gemma-4-E2B-it,circulares,0.5390179000096396,1.7e-05,circulares
museo,CIR_MNCR-DAF-AC-003-2025 Normalizacion formularios.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.8538813999912236,2.7e-05,circulares
museo,CIR_MNCR-DAF-AC-004-2025 plantillas informes.pdf,google/gemma-4-E2B-it,memorandos,0.629110399982892,2e-05,circulares
museo,CIR_MNCR-DAF-AC-005-2025 recordatorio responsabilidad doc (1).pdf,google/gemma-4-E2B-it,circulares,1.561886699986644,4.9e-05,circulares
museo,CIR_MNCR-DAF-AC-006-2025 formularios.pdf,google/gemma-4-E2B-it,circulares,0.5783304999931715,1.8e-05,circulares
museo,CIR_MNCR-DAF-AC-007-2025 archivo digital.pdf,google/gemma-4-E2B-it,circulares,0.7343766000121832,2.3e-05,circulares
museo,CIR_MNCR-DAF-AC-008-2025 comisiones.pdf,google/gemma-4-E2B-it,circulares,86.79467949998798,0.0027,circulares
museo,CIR_MNCR-DAF-AC-009-2025 plantillas y formularios.pdf,google/gemma-4-E2B-it,circulares,0.782406299986178,2.4e-05,circulares
museo,Contrato de Teletrabajo Sofia Irola 1.pdf,google/gemma-4-E2B-it,expedientesdetransferenciasdedocumentos,14.618055900005857,0.000455,expedientesdetrámiteslaborales
museo,CONTR_ MNCR-DAF-AC-001-2025_Biblio.pdf,google/gemma-4-E2B-it,controles,1.0485658000106923,3.3e-05,solicitudesadministrativas
museo,CONTR_ MNCR-DPM-016-2025 Traslado de documentos.pdf,google/gemma-4-E2B-it,根据控制和记录的性质，该文件最适合归类为控制的活动记录controles,3.329068399994867,0.000104,solicitudesadministrativas
museo,CONTR_MNCR-DPM-02-2025.pdf,google/gemma-4-E2B-it,informes,1.2713708999799564,4e-05,solicitudesadministrativas
museo,DG-2024-O-285 designación_encargada_Archivo_comisión_CIAP.pdf,google/gemma-4-E2B-it,memorandos,0.5315706999972463,1.7e-05,correspondencia
museo,DG-2024-O-344 Conformacion CISED.pdf,google/gemma-4-E2B-it,memorandos,0.407693899993319,1.3e-05,correspondencia
museo,DG-2024-O-345 Diagnostico AC.pdf,google/gemma-4-E2B-it,informes,1.183832699985942,3.7e-05,correspondencia
museo,DGAN-DG-581-2024 préstamo activos Arch Museo Nac.pdf,google/gemma-4-E2B-it,solicitudesadministrativas,0.6828356000187341,2.1e-05,correspondencia
museo,EVALUACIÓN DEL DESEMPEÑO 2024 SIR febrero.pdf,google/gemma-4-E2B-it,informes,9.4155657000083,0.000293,expedientesdetrámiteslaborales
museo,Factura a Museo por hospedaje Sofia Irola.pdf,google/gemma-4-E2B-it,facturaelectrónica,0.8428166000230704,2.6e-05,expedientesdetrámiteslaborales
museo,GIRHA-2024-O-672-2024. Srita. Lisseth Rojas Villarreal.pdf,google/gemma-4-E2B-it,expedientessobrevoluntariado,0.927723500004504,2.9e-05,expedientessobrevoluntariado
museo,INF MNCR-DAF-AC-002-2024 setiembre.pdf,google/gemma-4-E2B-it,informes,0.6221610000065994,1.9e-05,informes
museo,INF MNCR-DAF-AC-003-2024 octubre.pdf,google/gemma-4-E2B-it,informes,0.6895043999829795,2.1e-05,informes
museo,INF MNCR-DAF-AC-004-2024 teletrabajo octubre.pdf,google/gemma-4-E2B-it,informes,0.7749939000059385,2.4e-05,informes
museo,INF MNCR-DAF-AC-005-2024 noviembre.pdf,google/gemma-4-E2B-it,informes,0.6182379999954719,1.9e-05,informes
museo,INF MNCR-DAF-AC-006-2024 teletrabajo noviembre.pdf,google/gemma-4-E2B-it,informes,1.115376700006891,3.5e-05,informes
museo,INF MNCR-DAF-AC-007-2024 participación comisiones.pdf,google/gemma-4-E2B-it,informes,0.7059171999862883,2.2e-05,informes
museo,INF_MNCR-DAF-AC-001-2025 teletrabajo enero.pdf,google/gemma-4-E2B-it,informes,1.2677476000098975,3.9e-05,informes
museo,INF_MNCR-DAF-AC-002-2025 labores enero.pdf,google/gemma-4-E2B-it,informes,0.7819011000101455,2.4e-05,informes
museo,INF_MNCR-DAF-AC-003-2025 teletrabajo febrero.pdf,google/gemma-4-E2B-it,informes,0.9142553999845404,2.8e-05,informes
museo,INF_MNCR-DAF-AC-004-2025 labores febrero.pdf,google/gemma-4-E2B-it,informes,0.6652298000117298,2.1e-05,informes
museo,INF_MNCR-DAF-AC-005-2025 Asesoria DAH.pdf,google/gemma-4-E2B-it,informes,15.485704199993052,0.000482,informes
museo,INF_MNCR-DAF-AC-006-2025 labores marzo.pdf,google/gemma-4-E2B-it,informes,0.7097000999783631,2.2e-05,informes
museo,INF_MNCR-DAF-AC-007-2025 teletrabajo marzo.pdf,google/gemma-4-E2B-it,informes,1.2179540999932217,3.8e-05,informes
museo,INF_MNCR-DAF-AC-009-2025 labores abril.pdf,google/gemma-4-E2B-it,informes,0.6845197000075132,2.1e-05,informes
museo,INF_MNCR-DAF-AC-010-2025 teletrabajo abril.pdf,google/gemma-4-E2B-it,informes,0.982981099979952,3.1e-05,informes
museo,INF_MNCR-DAF-AC-011-2025 DAH conservacion.pdf,google/gemma-4-E2B-it,informes,1.4871180000191089,4.6e-05,informes
museo,INF_MNCR-DAF-AC-012-2025 labores mayo.pdf,google/gemma-4-E2B-it,informes,0.7429720999789424,2.3e-05,informes
museo,INF_MNCR-DAF-AC-013-2025 teletrabajo mayo.pdf,google/gemma-4-E2B-it,informes,0.8220249000005424,2.6e-05,informes
museo,INF_MNCR-DAF-AC-015-2025 labores junio.pdf,google/gemma-4-E2B-it,informes,0.6955873999977484,2.2e-05,informes
museo,INF_MNCR-DAF-AC-016-2025 teletrabajo junio.pdf,google/gemma-4-E2B-it,informes,0.843791199993575,2.6e-05,informes
