dataset,document,expected_label,model_name,provider,model_group,model_access_type,model_api_id,response,normalized_response,is_valid_category,elapsed_time,input_tokens,output_tokens,total_tokens,estimated_cost,error_message,timestamp,response_normalized,exact_match,regex_match
jurídico,datasets\jurídico\Dictamen OJ-1039-2021.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,gestión notarial y registral,,,229.3558420999907,,,,,,,gestion notarial y registral,0,0
jurídico,datasets\jurídico\Dictamen OJ-1041-2023.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,gestión judicial,,,1.6692125999834388,,,,,,,gestion judicial,0,0
jurídico,datasets\jurídico\Dictamen OJ-1069-2023.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,gestión notarial y registral,,,2.328304400027264,,,,,,,gestion notarial y registral,0,0
jurídico,datasets\jurídico\Dictamen OJ-1092-2022.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,consultoría,,,0.5073650999984238,,,,,,,consultoria,1,1
jurídico,datasets\jurídico\Dictamen OJ-1100-2023.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,gestión notarial y registral,,,2.34596999999485,,,,,,,gestion notarial y registral,0,0
jurídico,datasets\jurídico\Dictamen OJ-1124-2021.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,gestión judicial,,,2.1750113000161946,,,,,,,gestion judicial,0,0
jurídico,datasets\jurídico\Dictamen OJ-15-2026.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,gestión judicial,,,2.963731399999233,,,,,,,gestion judicial,0,0
jurídico,datasets\jurídico\Dictamen OJ-518-2021.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,gestión judicial,,,0.5312403000134509,,,,,,,gestion judicial,0,0
jurídico,datasets\jurídico\Dictamen OJ-586-2023.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,consultoría,,,0.7858202000206802,,,,,,,consultoria,1,1
jurídico,datasets\jurídico\Dictamen OJ-642-2022.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,gestión notarial y registral,,,1.1810098999994807,,,,,,,gestion notarial y registral,0,0
jurídico,datasets\jurídico\Dictamen OJ-917-2023.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,consultoría,,,1.819141399988439,,,,,,,consultoria,1,1
jurídico,datasets\jurídico\Dictamen OJ-992-2023.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,gestión judicial,,,1.60516100001405,,,,,,,gestion judicial,0,0
jurídico,datasets\jurídico\Opinión Jurídica OJ-211-2024.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,consultoría,,,1.687169900018489,,,,,,,consultoria,1,1
jurídico,datasets\jurídico\Opinión Jurídica OJ-26-2026.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,consultoría,,,0.6695099000062328,,,,,,,consultoria,1,1
jurídico,datasets\jurídico\Opinión Jurídica OJ-510-2025.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,consultoría,,,0.4570179999864194,,,,,,,consultoria,1,1
jurídico,datasets\jurídico\Opinión Jurídica OJ-99-2024.pdf,consultoria,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,consultoría,,,1.5270313000073656,,,,,,,consultoria,1,1
